seqName,sampleDate,seqId,location,clade,pangoLineages,nextStrainClade,whoClade
hCoV-19/Beijing/CPL-12-50/2022|EPI_ISL_16348503|2022-12-23,2022-12-23,EPI_ISL_16348503,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-51/2022|EPI_ISL_16348504|2022-12-23,2022-12-23,EPI_ISL_16348504,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-52/2022|EPI_ISL_16348505|2022-12-23,2022-12-23,EPI_ISL_16348505,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/CPL-12-53/2022|EPI_ISL_16348506|2022-12-23,2022-12-23,EPI_ISL_16348506,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/CPL-12-54/2022|EPI_ISL_16348507|2022-12-22,2022-12-22,EPI_ISL_16348507,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-55/2022|EPI_ISL_16348508|2022-12-22,2022-12-22,EPI_ISL_16348508,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-56/2022|EPI_ISL_16348509|2022-12-22,2022-12-22,EPI_ISL_16348509,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-57/2022|EPI_ISL_16348510|2022-12-22,2022-12-22,EPI_ISL_16348510,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-58/2022|EPI_ISL_16348511|2022-12-22,2022-12-22,EPI_ISL_16348511,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-59/2022|EPI_ISL_16348512|2022-12-22,2022-12-22,EPI_ISL_16348512,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-60/2022|EPI_ISL_16348513|2022-12-22,2022-12-22,EPI_ISL_16348513,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-61/2022|EPI_ISL_16348514|2022-12-19,2022-12-19,EPI_ISL_16348514,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-62/2022|EPI_ISL_16348515|2022-12-19,2022-12-19,EPI_ISL_16348515,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/CPL-12-63/2022|EPI_ISL_16348516|2022-12-19,2022-12-19,EPI_ISL_16348516,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-64/2022|EPI_ISL_16348517|2022-12-19,2022-12-19,EPI_ISL_16348517,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-65/2022|EPI_ISL_16348518|2022-12-19,2022-12-19,EPI_ISL_16348518,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-66/2022|EPI_ISL_16348519|2022-12-19,2022-12-19,EPI_ISL_16348519,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-67/2022|EPI_ISL_16348520|2022-12-19,2022-12-19,EPI_ISL_16348520,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-68/2022|EPI_ISL_16348521|2022-12-24,2022-12-24,EPI_ISL_16348521,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/CPL-12-69/2022|EPI_ISL_16348522|2022-12-24,2022-12-24,EPI_ISL_16348522,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3100/2022|EPI_ISL_16350863|2022-12-01,2022-12-01,EPI_ISL_16350863,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3099/2022|EPI_ISL_16350864|2022-12-01,2022-12-01,EPI_ISL_16350864,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3101/2022|EPI_ISL_16350865|2022-12-01,2022-12-01,EPI_ISL_16350865,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3102/2022|EPI_ISL_16350866|2022-12-01,2022-12-01,EPI_ISL_16350866,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3124/2022|EPI_ISL_16350867|2022-12-08,2022-12-08,EPI_ISL_16350867,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3125/2022|EPI_ISL_16350868|2022-12-08,2022-12-08,EPI_ISL_16350868,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3127/2022|EPI_ISL_16350869|2022-12-08,2022-12-08,EPI_ISL_16350869,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3128/2022|EPI_ISL_16350870|2022-12-08,2022-12-08,EPI_ISL_16350870,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3129/2022|EPI_ISL_16350871|2022-12-08,2022-12-08,EPI_ISL_16350871,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3130/2022|EPI_ISL_16350872|2022-12-08,2022-12-08,EPI_ISL_16350872,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3132/2022|EPI_ISL_16350873|2022-12-08,2022-12-08,EPI_ISL_16350873,Beijing,22B (Omicron),BA.5.2,22B,Omicron
hCoV-19/Beijing/3131/2022|EPI_ISL_16350874|2022-12-08,2022-12-08,EPI_ISL_16350874,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3133/2022|EPI_ISL_16350875|2022-12-08,2022-12-08,EPI_ISL_16350875,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3135/2022|EPI_ISL_16350876|2022-12-08,2022-12-08,EPI_ISL_16350876,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3136/2022|EPI_ISL_16350877|2022-12-08,2022-12-08,EPI_ISL_16350877,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3137/2022|EPI_ISL_16350878|2022-12-08,2022-12-08,EPI_ISL_16350878,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3138/2022|EPI_ISL_16350879|2022-12-08,2022-12-08,EPI_ISL_16350879,Beijing,22B (Omicron),BA.5.2.48,22B,Omicron
hCoV-19/Beijing/3139/2022|EPI_ISL_16350880|2022-12-08,2022-12-08,EPI_ISL_16350880,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3140/2022|EPI_ISL_16350881|2022-12-08,2022-12-08,EPI_ISL_16350881,Beijing,22B (Omicron),BF.7.14,22B,Omicron
hCoV-19/Beijing/3141/2022|EPI_ISL_16350882|2022-12-08,2022-12-08,EPI_ISL_16350882,Beijing,22B (Omicron),BF.7.14,22B,Omicron
